연월,평균기온,최고기온,최저기온,평균상대습도,월합강수량,일최다강수량,1시간최다강수량,평균풍속,최대풍속,합계 일조시간,일조율,최심적설,최심신적설,평균지면온도,소비자물가지수,배추가격(원),ds,y,holiday
2013-01,-1.7826086956521738,12.771739130434783,-14.77282608695652,64.16304347826087,27.706521739130434,18.808695652173913,0.0,2.1771739130434784,8.534782608695652,172.23478260869567,55.358586956521734,11.117073170731707,7.263888888888889,-0.6217391304347827,92.728,3853,2013-01,3853,0
2013-02,0.8119565217391305,16.22391304347826,-12.860869565217392,58.22826086956522,52.02608695652174,31.231521739130436,0.0,2.36304347826087,8.889130434782608,170.1945652173913,55.84608695652174,5.585294117647059,3.623529411764706,1.8184782608695653,93.038,3917,2013-02,3917,0
2013-03,6.5804347826086955,23.430434782608696,-4.823913043478261,58.59782608695652,62.93369565217391,28.233695652173914,0.0,2.525,9.832608695652175,240.42499999999998,64.74608695652174,7.816666666666666,7.816666666666666,8.180434782608696,92.952,4035,2013-03,4035,0
2013-04,10.193478260869565,24.807608695652174,-0.5782608695652174,60.08695652173913,76.94673913043479,32.13695652173913,7.721739130434782,2.8097826086956523,10.214130434782609,215.625,54.77826086956522,3.033333333333333,2.0,12.553260869565218,92.823,4088,2013-04,4088,0
2013-05,17.59130434782609,31.020652173913046,5.482608695652174,66.81521739130434,133.27717391304347,61.18695652173913,11.420652173913044,2.1880434782608695,8.472826086956522,241.29891304347825,55.25532608695652,0.0,0.0,20.98695652173913,92.823,3025,2013-05,3025,0
2013-06,22.27173913043478,31.43913043478261,13.028260869565216,76.09782608695652,101.81521739130434,55.84130434782608,20.153260869565216,1.6967391304347825,6.675,179.3423913043478,40.9625,0.0,0.0,26.166304347826088,92.71,2730,2013-06,2730,0
2013-07,26.031521739130437,33.24130434782609,20.232608695652175,81.23913043478261,297.67282608695655,93.54782608695652,30.945652173913043,2.401086956521739,8.289130434782608,142.9413043478261,32.28739130434783,0.0,0.0,28.597826086956523,92.909,2832,2013-07,2832,0
2013-08,27.039130434782606,35.448913043478264,19.030434782608694,77.86813186813187,158.82717391304348,59.709782608695654,28.567391304347826,1.827173913043478,8.265217391304347,236.50652173913042,56.63141304347826,0.0,0.0,30.93152173913043,93.238,4080,2013-08,4080,0
2013-09,21.039130434782606,30.78478260869565,10.379347826086956,76.58695652173913,112.90434782608696,46.7195652173913,19.31304347826087,1.6684782608695652,6.92608695652174,179.99239130434782,48.33184782608696,0.0,0.0,23.877173913043475,93.419,4572,2013-09,4572,0
2013-10,15.409677419354837,27.48064516129032,3.510752688172043,72.04301075268818,57.34086021505376,35.43225806451613,9.616129032258064,1.9774193548387098,8.680645161290322,211.90967741935484,60.685698924731184,0.0,0.0,17.2247311827957,93.134,2772,2013-10,2772,0
2013-11,7.168817204301075,21.67849462365591,-4.533333333333333,66.6236559139785,61.88172043010753,22.62150537634409,0.8666666666666667,2.3655913978494625,10.406451612903226,177.40322580645162,57.51483870967742,5.571875,4.521875,7.80752688172043,93.116,2000,2013-11,2000,김장철
2013-12,1.6086021505376344,12.694623655913977,-8.246236559139785,65.13978494623656,22.076344086021503,10.079569892473119,0.0,2.329032258064516,8.90752688172043,170.63333333333333,56.37,5.548936170212766,4.512765957446808,1.9182795698924733,93.229,2440,2013-12,2440,김장철
2014-01,0.646236559139785,12.683870967741935,-10.01505376344086,58.204301075268816,13.86236559139785,6.923655913978495,0.0,2.1010752688172043,8.453763440860216,194.9741935483871,62.67645161290322,7.933333333333334,6.136363636363637,0.689247311827957,93.73,2229,2014-01,2229,0
2014-02,2.552688172043011,17.551612903225806,-8.351612903225806,64.13978494623656,32.95268817204301,13.310752688172045,0.0,2.127956989247312,7.983870967741935,141.78602150537634,46.55193548387097,15.61875,9.3375,3.4580645161290327,93.98,1964,2014-02,1964,0
2014-03,7.595698924731183,23.81827956989247,-5.340860215053763,62.075268817204304,82.30215053763442,26.764516129032256,0.0,2.4086021505376345,9.167741935483871,203.8075268817204,54.928064516129034,4.23125,3.175,8.735483870967741,94.153,1990,2014-03,1990,0
2014-04,13.156989247311827,26.098924731182795,0.7236559139784946,60.0,86.97849462365592,39.13978494623656,7.825806451612903,2.1677419354838707,8.756989247311827,207.4215053763441,52.73290322580645,10.4,6.2,15.755913978494624,94.214,1840,2014-04,1840,0
2014-05,18.116129032258065,32.57659574468085,4.854255319148936,60.41935483870968,67.68297872340425,32.93191489361702,11.087234042553192,2.4408602150537635,9.431914893617021,285.4265957446808,65.60553191489362,0.0,0.0,22.176344086021505,94.369,1827,2014-05,1827,0
2014-06,21.51595744680851,31.145744680851063,14.53191489361702,74.77659574468085,79.3468085106383,33.27553191489362,17.68404255319149,1.9297872340425533,7.720212765957447,162.57765957446807,37.1654255319149,0.0,0.0,25.5468085106383,94.248,2650,2014-06,2650,0
2014-07,24.75,34.6031914893617,17.43936170212766,78.65957446808511,167.05957446808512,52.98297872340425,24.429787234042553,1.952127659574468,9.238297872340425,162.76021505376346,36.56655913978495,0.0,0.0,27.943617021276594,94.386,3383,2014-07,3383,0
2014-08,23.582978723404256,32.8563829787234,16.24255319148936,83.20212765957447,393.93510638297874,109.4191489361702,32.08723404255319,1.9340425531914895,8.979787234042554,115.11808510638298,27.587978723404255,0.0,0.0,25.732978723404255,94.551,3683,2014-08,3683,0
2014-09,20.756382978723405,30.33936170212766,12.086170212765957,77.06382978723404,119.87872340425533,73.70957446808511,19.743617021276595,1.647872340425532,6.975531914893618,187.38723404255322,50.2795744680851,0.0,0.0,23.865957446808512,94.49,2575,2014-09,2575,0
