year,avgTemp,minTemp,maxTemp,rainFall,avgPrice,ds,y
20100101,-4.9,-11,0.9,0,2123,2010-01-01,2123
20100102,-3.1,-5.5,5.5,0.8,2123,2010-01-02,2123
20100103,-2.9,-6.9,1.4,0,2123,2010-01-03,2123
20100104,-1.8,-5.1,2.2,5.9,2020,2010-01-04,2020
20100105,-5.2,-8.7,-1.8,0.7,2060,2010-01-05,2060
20100106,-7.3,-11.4,-2.5,0.3,2060,2010-01-06,2060
20100107,-6.7,-11.2,-1.2,0,2140,2010-01-07,2140
20100108,-5.6,-11.4,1.4,0,2140,2010-01-08,2140
20100109,-3.1,-8.8,1.8,0.1,2140,2010-01-09,2140
20100110,-1.3,-5,2.8,0,2140,2010-01-10,2140
20100111,-1.5,-5.1,2.1,0,2140,2010-01-11,2140
20100112,-5,-8.2,-1.7,0.4,2140,2010-01-12,2140
20100113,-8.3,-11.4,-4.6,0.7,2140,2010-01-13,2140
20100114,-6.4,-12.7,0,0.1,2140,2010-01-14,2140
20100115,-2.6,-7.9,3.9,0.1,2140,2010-01-15,2140
20100116,-4.1,-9.9,2.9,0,2140,2010-01-16,2140
20100117,-3.1,-9.8,4.9,0,2140,2010-01-17,2140
20100118,-0.4,-7.1,7.7,0,2140,2010-01-18,2140
20100119,3.6,-4.6,11,0.3,2140,2010-01-19,2140
20100120,8,4.9,11.3,10.8,2175,2010-01-20,2175
20100121,1.3,-3.6,7.9,3.1,2211,2010-01-21,2211
20100122,-3.1,-5.7,0.8,0,2211,2010-01-22,2211
20100123,-2.7,-6.6,2,0.1,2211,2010-01-23,2211
20100124,0.4,-5.5,5.8,0,2211,2010-01-24,2211
20100125,0.8,-4.3,5.4,0,2211,2010-01-25,2211
20100126,-2.3,-7.7,4.3,0,2178,2010-01-26,2178
20100127,1.3,-5.9,7.4,6.5,2178,2010-01-27,2178
20100128,3.5,-0.7,7.4,0.1,2311,2010-01-28,2311
20100129,0.2,-4.3,5,0,2344,2010-01-29,2344
20100130,1.9,-3.3,7.5,0,2344,2010-01-30,2344
20100131,3,-1.3,9.4,0,2344,2010-01-31,2344
20100201,2.2,-1,6.8,0.2,2380,2010-02-01,2380
20100202,-2,-5.5,1.8,0,2520,2010-02-02,2520
20100203,-4.9,-8.6,-0.3,0,2620,2010-02-03,2620
20100204,-2.9,-8.4,2.2,0.1,2720,2010-02-04,2720
20100205,-1.8,-5.9,3,0,2820,2010-02-05,2820
20100206,-2.6,-8.5,4.7,0,2820,2010-02-06,2820
20100207,1.2,-8.3,8.6,0.1,2820,2010-02-07,2820
20100208,4.9,2.8,7.3,2.7,2980,2010-02-08,2980
20100209,5.6,3.6,7.8,6.9,3040,2010-02-09,3040
20100210,5.1,4,6.5,9,3040,2010-02-10,3040
20100211,2.4,0.7,5.2,17.3,3080,2010-02-11,3080
20100212,0.7,-0.6,2.7,3.1,3180,2010-02-12,3180
20100213,-0.7,-3.3,2.2,1.9,3180,2010-02-13,3180
20100214,-1.2,-4.9,2.5,0,3180,2010-02-14,3180
20100215,-0.5,-4.4,5,0.1,3180,2010-02-15,3180
20100216,-1.6,-5,3.2,0.6,3180,2010-02-16,3180
20100217,-1.2,-6.1,3.6,0.4,3280,2010-02-17,3280
20100218,-1.1,-4.8,2.4,0.5,3300,2010-02-18,3300
20100219,-0.6,-6.1,5.4,0.1,3300,2010-02-19,3300
20100220,2.2,-4.2,9.7,0,3300,2010-02-20,3300
20100221,3.7,-3.4,11.6,0,3300,2010-02-21,3300
20100222,5.2,-0.8,12.8,0,3260,2010-02-22,3260
20100223,6.4,-1.2,16.4,0,3260,2010-02-23,3260
20100224,11.2,1.2,18.9,0,3300,2010-02-24,3300
20100225,13.4,10.3,16.4,33.4,3260,2010-02-25,3260
20100226,9.4,6,13.5,4.1,3340,2010-02-26,3340
20100227,6.3,3.8,9.2,1.5,3340,2010-02-27,3340
20100228,7.1,3,12.6,0.1,3340,2010-02-28,3340
20100301,5.4,3.4,8,15.6,3340,2010-03-01,3340
20100302,4.2,1.8,6.9,0.3,3340,2010-03-02,3340
20100303,5.2,-0.4,10.5,0,3760,2010-03-03,3760
20100304,5.9,4.4,7.2,3.9,3860,2010-03-04,3860
20100305,6.9,5,9.4,3.8,4140,2010-03-05,4140
20100306,5.5,3.1,8.1,3.3,4140,2010-03-06,4140
20100307,4.2,2.3,7,0.9,4140,2010-03-07,4140
20100308,3.8,0.1,7.6,0.9,4200,2010-03-08,4200
20100309,2.3,-0.8,5.8,5.7,4400,2010-03-09,4400
20100310,-0.3,-2.9,2.6,3.9,4400,2010-03-10,4400
20100311,3,-2.8,8.4,0,4400,2010-03-11,4400
20100312,8.3,1.7,14.5,0,4300,2010-03-12,4300
20100313,6.1,1.6,12.5,0,4300,2010-03-13,4300
20100314,8,1,12.9,1.1,4300,2010-03-14,4300
20100315,9.4,4.5,14.4,16.5,4400,2010-03-15,4400
20100316,3.2,-0.4,7.2,0,4300,2010-03-16,4300
20100317,2.4,-2.7,7.3,1.1,4440,2010-03-17,4440
20100318,2.1,-1.8,6.5,2.3,4440,2010-03-18,4440
20100319,6,-3.5,13.9,0,4440,2010-03-19,4440
20100320,10.9,5.1,18.5,1,4440,2010-03-20,4440
20100321,4.7,1,9.3,0,4440,2010-03-21,4440
20100322,4.4,0.4,8,2,4440,2010-03-22,4440
20100323,7,3.3,11.4,2.4,4640,2010-03-23,4640
20100324,8.3,3.9,13.1,0.1,4680,2010-03-24,4680
20100325,5.1,1.4,8.5,4.6,4780,2010-03-25,4780
20100326,3.2,-2,8,0,4880,2010-03-26,4880
20100327,5.6,0.5,10,0.9,4880,2010-03-27,4880
20100328,6.2,1.7,11.4,0,4880,2010-03-28,4880
20100329,5.6,-1.3,12.9,0,5040,2010-03-29,5040
20100330,7.8,1,13.6,0,5300,2010-03-30,5300
20100331,8.8,6.3,10.9,18.8,5400,2010-03-31,5400
20100401,8.9,5.1,11.6,15.8,5600,2010-04-01,5600
